id,Restricao,Elementos Restritivos
11,triglicerídeos elevados,"{ ""gorduras_saturadas_trans"": [ ""manteiga"", ""manteiga ghee"", ""manteiga clarificada"", ""banha"", ""banha de porco"", ""sebo"", ""margarina"", ""margarina hidrogenada"", ""óleos parcialmente hidrogenados"", ""gordura trans"", ""gordura animal"", ""gordura vegetal"", ""gordura ghee"", ""gordura de bacon"", ""gordura de toucinho"" ], ""óleos_refinados"": [ ""óleo de soja"", ""óleo de milho"", ""óleo de canola"", ""óleo de girassol"", ""óleo de semente de uva"", ""óleo de palma"", ""óleo de sésamo"", ""óleo de cártamo"", ""óleo de linho"", ""óleo de gérmen de trigo"", ""óleo vegetal refinado"", ""óleos vegetais refinados"", ""óleo de azeite refinado"" ] }"
12,hiperuricemia,"{ ""ricos em purinas"": [ ""banha"", ""gordura de bacon"", ""gordura de carne vermelha"", ""sebo"", ""sardinha"", ""cavala"", ""peixe gorduroso"" ], ""gorduras saturadas e trans"": [ ""óleo de soja"", ""óleo de milho"", ""óleo de girassol"", ""óleo de canola"", ""margarina"", ""gordura trans"", ""óleos parcialmente hidrogenados"", ""manteiga"", ""creme de leite"", ""queijo gorduroso"" ], ""outros alimentos inflamatórios"": [ ""soja"", ""proteína de soja"", ""nozes"", ""amêndoa"", ""chia"", ""linhaça"", ""óleo de coco"", ""leite de coco"" ] }"
13,síndrome metabólica,"{ ""açúcares e adoçantes artificiais"": [ ""açúcar"", ""mel"", ""xilitol"", ""eritritol"", ""agave"", ""adoçantes artificiais"" ], ""carboidratos refinados e ultraprocessados"": [ ""pão integral"", ""bolacha de arroz"", ""biscoitos de arroz"", ""torradas integrais"", ""farinha de trigo integral"" ], ""alimentos ultraprocessados"": [ ""óleo de coco"", ""óleo de palma"", ""margarina"", ""gordura trans"", ""queijo curado"", ""queijo mussarela"", ""cream cheese"", ""presunto"", ""peito de peru"", ""sardinha enlatada"" ] }"
14,síndrome dos ovários policísticos,"{ ""açúcares e adoçantes artificiais"": [ ""açúcar"", ""mel"", ""agave"", ""xilitol"", ""eritritol"", ""adoçantes artificiais"" ], ""carboidratos refinados"": [ ""farinha branca"", ""maisena"", ""semolina"", ""biscoitos"", ""bolachas"", ""barrinhas de cereal adoçadas"" ], ""laticínios e derivados"": [ ""leite integral"", ""queijo cottage"", ""queijo feta"", ""iogurte grego integral"" ], ""gorduras inflamatórias"": [ ""óleo de soja"", ""óleo de girassol"", ""margarina"", ""chocolate com açúcar"", ""sobremesas industrializadas"" ] }"
15,refluxo gastroesofágico,"{ ""alimentos ácidos e cítricos"": [ ""limão"", ""laranja"", ""suco de limão"", ""vinagre"", ""tomate"", ""molho de tomate"" ], ""alimentos gordurosos e ultraprocessados"": [ ""margarina"", ""manteiga"", ""queijo gorduroso"", ""maionese"", ""creme de leite"" ], ""bebidas e estimulantes"": [ ""café"", ""chá preto"", ""chá mate"", ""refrigerante"", ""álcool"" ], ""alimentos que aumentam a acidez gástrica"": [ ""alho"", ""cebola"", ""pimenta"", ""hortelã"", ""chocolate"" ] }"
16,insuficiência cardíaca,"{ ""alto teor de sódio"": [ ""sal"", ""molho de soja"", ""caldo"", ""caldo de legumes"", ""camarão"", ""bacalhau"" ], ""gordura ruim"": [ ""margarina de aveia"" ] } "
17,osteoporose,"{ ""inibe absorção de cálcio"": [ ""sal"", ""café"", ""chá preto"", ""chá verde"", ""refrigerante"" ], ""aumenta a eliminação de cálcio"": [ ""sal marinho"", ""margarina"", ""bebida alcoólica"", ""refrigerante"" ], ""pouco nutritivo e pode prejudicar a saúde óssea"": [ ""biscoito"", ""bolacha"", ""bolo"", ""muffin"", ""cookie"", ""pão de queijo"" ] }"
18,lúpus,"{ ""inflamatórios"": [ ""tomate"", ""pimentão"", ""pimenta"", ""berinjela"" ], ""sementes e oleaginosas problemáticas"": [ ""semente de girassol"", ""linhaça"", ""gergelim"" ], ""chás "": [ ""chá verde"", ""chá de hibisco"" ], ""leguminosas que podem afetar o sistema imunológico"": [ ""soja"", ""tofu"" ] }"
19,esteatose hepática alcoólica,"{ ""alimentos inflamatórios"": [ ""pimenta"", ""pimenta-do-reino"", ""pimentão"", ""pimentão vermelho"", ""pimentão amarelo"", ""berinjela"" ], ""oleaginosas e sementes"": [ ""semente de girassol"", ""sementes de gergelim"", ""sementes de chia"", ""linhaça"", ""nozes"", ""castanha-do-pará"", ""castanha de caju"", ""avelã"", ""noz-pecã"" ], ""laticínios gordurosos"": [ ""queijo"", ""queijo cottage"", ""queijo minas"", ""queijo ricota"", ""queijo fresco"", ""queijo branco"" ], ""ultraprocessado"": [ ""óleo de coco"", ""biscoito integral"", ""bolacha integral"", ""bolo"", ""biscoito de aveia"", ""granola com açúcar"", ""pasta de amêndoas com açúcar"", ""manteiga de amêndoas"", ""pasta de amendoim com açúcar"" ], ""açúcares e adoçantes"": [ ""açúcar mascavo"", ""xarope de agave"", ""adoçante"", ""adoçante natural"" ], ""chás"": [ ""chá verde"", ""chá de hibisco"" ], ""leguminosas"": [ ""soja"", ""leite de soja"", ""tofu"", ""feijão"" ] }"
20,síndrome do intestino curto,"{ ""alimentos ricos em fibras insolúveis"": [ ""farelo de trigo"", ""grãos integrais"", ""vegetais crus"", ""leguminosas"", ""folhas verdes"" ], ""açúcares e adoçantes artificiais"": [ ""açúcar"", ""mel"", ""xilitol"", ""sorbitol"", ""adoçantes artificiais"" ], ""laticínios "": [ ""leite"", ""queijos envelhecidos"", ""creme de leite"" ], ""gorduras difíceis de digerir"": [ ""frituras"", ""óleo de coco"", ""óleo de palma"", ""gordura animal"" ], ""alimentos que causam gases"": [ ""feijão"", ""brócolis"", ""couve-flor"", ""cebola"", ""alho"", ""refrigerantes"" ], ""bebidas alcoólicas e cafeinadas"": [ ""café"", ""chá preto"", ""álcool"", ""bebidas energéticas"" ] }"
21,alergia ao amendoim,"{ ""oleaginosas e derivados"": [ ""amendoim"", ""manteiga de amendoim"", ""pasta de amendoim"", ""óleo de amendoim"" ], ""alimentos industrializados"": [ ""barras de proteína"", ""snacks proteicos"", ""chocolates"", ""cereais matinais"" ], ""óleos e gorduras"": [ ""óleo de amendoim"", ""produtos fritos em óleo de amendoim"" ], ""embutidos e carnes processadas"": [ ""linguiça"", ""salsicha"", ""frios industrializados"" ], ""alternativas vegetais"": [ ""bebidas vegetais"", ""proteínas vegetais"" ] }"
22,alergia a oleaginosas,"{ ""oleaginosas e derivados"": [ ""amêndoa"", ""castanha-do-pará"", ""castanha de caju"", ""nozes"", ""pistache"", ""avelã"", ""macadâmia"", ""pecã"" ], ""óleos vegetais"": [ ""óleo de amêndoa"", ""óleo de castanha"", ""óleo de nozes"" ], ""produtos industrializados"": [ ""barras de proteína"", ""snacks proteicos"", ""chocolates"", ""cereais matinais"", ""granolas"" ], ""leites e cremes vegetais"": [ ""leite de amêndoas"", ""leite de castanha"", ""leite de nozes"" ], ""manteigas e pastas"": [ ""manteiga de amêndoas"", ""manteiga de castanha"", ""pasta de nozes"", ""pasta de tahine"" ] }"
23,alergia a ovos,"{ ""molhos_cremes_ovos"": [ ""maionese"", ""molho ranch"", ""molho tártaro"", ""molho aioli"", ""molho de queijo"", ""creme de queijo"", ""creme de leite"" ], ""substitutos_potencial_contaminacao"": [ ""aquafaba"", ""maionese vegana"", ""veganese"" ], ""queijos_laticinios_processados"": [ ""queijo cottage"", ""queijo cremoso"", ""queijo feta"", ""queijo parmesão"" ], ""produtos_assados_processados"": [ ""biscoitos integrais"", ""bolachas de arroz"", ""muffins"", ""pão integral"" ]"
24,doença celíaca,"{ ""paes_com_gluten"": [ ""pão de trigo"", ""pão francês"", ""pão integral"", ""pão de forma"", ""pão branco"", ""pão sírio"", ""pão rústico"", ""pão pita"", ""pão multigrãos"", ""pão caseiro"", ""pão artesanal"", ""pão sourdough"", ""pão de centeio"", ""ciabatta"", ""focaccia"", ""chapati"", ""baguete"" ], ""farinhas_derivados_gluten"": [ ""farinha de trigo"", ""farinha de centeio"", ""farinha de semolina"", ""farinha de espelta"", ""farinha de triticale"", ""farinha de kamut"" ], ""misturas_comerciais_gluten"": [ ""mistura de farinha"", ""mistura para pão"", ""mistura para bolo"", ""mistura para torta"", ""mistura para panqueca"", ""mistura para waffle"", ""misturas prontas para assados"" ] }"
25,intolerância à lactose,"{ ""laticinios_derivados"": [ ""leite"", ""iogurte"", ""queijo"", ""requeijão"", ""creme de leite"", ""leite condensado"", ""iogurte grego"", ""iogurte natural"", ""iogurte de soja"", ""iogurte de origem vegetal sem certificação"", ""kefir"", ""manteiga"", ""cream cheese"", ""ricota"", ""queijo cottage"", ""queijo minas"", ""queijo parmesão"", ""queijo cheddar"", ""queijo muçarela"", ""queijo feta"" ], ""produtos_processados_risco_lactose"": [ ""pão de forma"", ""pão multigrãos"", ""biscoitos"", ""bolachas"", ""muffins"", ""waffles"", ""barras de cereais"", ""barrinhas de proteína"", ""bolos industrializados"", ""panquecas prontas"", ""cremes e molhos industrializados"", ""molho branco"", ""molho de queijo"", ""molho alfredo"", ""molho ranch"", ""molho cremoso"" ], ""substitutos_risco_contaminacao"": [ ""iogurte sem lactose"", ""queijo sem lactose"", ""bebidas vegetais sem certificação"", ""leite de amêndoas"", ""leite de coco"", ""leite de soja"", ""leite de aveia"", ""leite de arroz"" ] }"
26,fobia de água,"{ ""exercícios aeróbicos na água"": [""aeróbica aquática"", ""marcha aquática"", ""hidrobicicleta"", ""hidroginástica"", ""hidrojump""], ""terapia na água"": [""aquaterapia"", ""hidroterapia"", ""exercícios hidroterápicos"", ""exercícios funcionais e de mobilidade na água"", ""atividade aquática"", ""atividades aquáticas"", ""exercício aquático"", ""exercício em água rasa"", ""exercícios aquáticos"", ""exercícios na piscina"", ""exercícios na água""], ""natação"": [""nadar"", ""natação"", ""natação adaptada""], ""pular"": [""pular""], ""agachamento"": [""agachamento"", ""agachamento assistido"", ""agachamento de parede"", ""agachamento em pé"", ""agachamento modificado"", ""agachamento na cadeira"", ""agachamento parcial"", ""agachamento à parede"", ""agachamentos"", ""agachamentos de cadeira"", ""agachamentos parciais""], ""rotação do tronco"": [""rotação de tronco"", ""rotação do tronco"", ""rotações de tronco"", ""torção de tronco""] }"
27,fibrose pulmonar,"{ ""levantamento de peso"": [""levantamento de peso"", ""levantamento de pesos"", ""levantamento de halteres"", ""levantamento de objetos pesados"", ""máquinas de musculação""], ""exercícios isométricos prolongados"": [""prancha"", ""prancha modificada"", ""exercícios isométricos"", ""fortalecimento isométrico""], ""alta resistência"": [""treinamento de força"", ""treino de força"", ""treinamento funcional"", ""treino de resistência"", ""exercícios de resistência com pesos""], ""alto impacto"": [""agachamento profundo"", ""agachamento assistido com peso"", ""leg press""], ""controle respiratório intenso"": [""exercícios de força com resistência elevada"", ""exercícios de resistência intensos"", ""exercícios de contração prolongada""], ""pressão torácica alta"": [""supino"", ""extensão de tríceps com carga"", ""rosca direta pesada"", ""pressão de ombro intensa""] }"
28,síndrome da fadiga crônica,"{ ""impacto_alto"": [ ""levantamento de peso"", ""musculação"", ""treinamento com pesos"", ""treinamento de força"" ], ""excesso_de_carga"": [ ""agachamento"", ""leg press"", ""supino"", ""levantamento terra"" ], ""movimentos_bruscos"": [ ""flexão"", ""flexão de joelho"", ""flexão de pernas"", ""flexão de tronco"", ""movimento de puxar"", ""movimento de empurrar"" ], ""atividades_de_alto_risco"": [ ""subir escadas"", ""correr"", ""zumba"", ""step"", ""treinamento em intervalos"" ] } "
29,fibromialgia,"{ ""impacto_alto"": [ ""levantamento de peso"", ""musculação"", ""máquinas de musculação"", ""treinamento com pesos"", ""treinamento de força"" ], ""excesso_de_carga"": [ ""agachamento"", ""leg press"", ""supino"", ""levantamento terra"" ], ""movimentos_bruscos"": [ ""flexão"", ""flexão de joelho"", ""flexão de pernas"", ""flexão de tronco"", ""movimento de puxar"", ""movimento de empurrar"" ], ""atividades_de_alto_risco"": [ ""subir escadas"", ""correr"", ""zumba gold"", ""step"" ] }"
30,asma,"{ ""alta intensidade"": [""treinamento intervalado de alta intensidade"", ""circuit training"", ""exercícios intervalados de alta intensidade"", ""corrida intensa"", ""basquete"", ""futebol"", ""vôlei""], ""ambiente frio ou seco"": [""ciclismo em baixa temperatura"", ""caminhada em subida no frio"", ""corrida ao ar livre em tempo frio""], ""respiração acelerada"": [""aeróbica de alta intensidade"", ""natação intensa sem pausas"", ""dança de alta intensidade""], ""levantamento pesado"": [""levantamento de peso elevado"", ""levantamento terra"", ""supino com halteres pesados"", ""máquinas de musculação com cargas altas""], ""controle respiratório extremo"": [""técnica Buteyko"", ""exercícios respiratórios com apneia prolongada""] }"
31,osteoartrite,"{ ""impacto_alto"": [ ""levantamento de peso"", ""musculação"", ""máquinas de musculação"" ], ""impacto_articulacoes"": [ ""agachamento"", ""subir escadas"", ""subir e descer escadas"", ""subir e descer degraus"" ], ""movimentos_bruscos"": [ ""flexão de joelho"", ""flexão de joelhos"", ""flexão de quadril"", ""flexão de tronco"", ""flexões laterais"" ], ""exigencia_equilibrio"": [ ""equilíbrio em uma perna"", ""equilíbrio em um pé"", ""ficar em pé em um pé só"", ""ficar em uma perna"" ], ""risco_hiperextensao"": [ ""extensão de joelho"", ""extensão de pernas"" ] }"
32,hérnia de disco,"{ ""flexao_excessiva_da_coluna"": [ ""abdominal"", ""flexão de coluna"", ""sit-up"", ""abdominal modificado"", ""abdominal isométrica"", ""crunch abdominal"", ""abdominais modificados"" ], ""extensao_excessiva_da_coluna"": [ ""super-homem"", ""superman"", ""extensão da coluna"", ""extensão lombar"", ""extensão de costas"", ""extensões lombares"", ""extensões de coluna"", ""posição de cobra"", ""alongamento da cobra"" ], ""movimentos_de_rotacao_excessiva_do_tronco"": [ ""torção russa"", ""rotação do tronco sentado"", ""rotação de tronco"", ""rotação torácica"", ""torção espinhal em pé"" ], ""agachamentos_pesados"": [ ""agachamento"", ""leg press"", ""prensa de pernas"", ""agachamento com peso corporal"" ], ""exercicios_de_impacto"": [ ""corrida"", ""jumping jack adaptado"", ""saltos de pé"" ], ""levantamento_de_peso"": [ ""levantamento de terra"", ""peso morto"", ""levantamento de peso leve"" ] }"
33,condromalácia patelar,"{ ""agachamentos e variações"": [ ""agachamento"", ""agachamento unilateral"", ""agachamento com peso corporal"", ""agachamento com bola"", ""agachamento em cadeira"", ""agachamento isométrico"", ""agachamento modificado"", ""agachamento de parede"", ""agachamento com uma perna"", ""agachamento com suporte"", ""agachamento de baixo impacto"" ], ""subidas e degraus"": [ ""subida de escadas"", ""subida e descida de escadas"", ""subida no degrau"", ""subida em escada"" ], ""ciclismo e variações"": [ ""ciclismo"", ""bicicleta ergométrica"", ""bicicleta estacionária"", ""bicicleta aquática"", ""ciclismo estacionário"", ""hidrobike"" ], ""máquinas de academia"": [ ""leg press"", ""prensa de pernas"" ], ""movimentos de extensão e flexão"": [ ""extensão de joelho com carga elevada"", ""extensão de joelho sentado com peso"", ""levantamento de pernas estendidas"", ""flexão de joelho profunda"", ""flexão de joelho com bola"", ""flexão de joelho isométrica"" ] }"
34,joanetes,"{ ""impacto_elevado"": [ ""corrida"", ""saltos de pé"", ""jumping jack adaptado"" ], ""carga_excessiva_no_pe"": [ ""agachamento com peso corporal"", ""leg press"", ""prensa de pernas"", ""levantamento de peso leve"" ], ""movimentos_de_flexão_extrema_do_pe"": [ ""elevação de panturrilha"", ""elevação de panturrilhas"", ""flexão plantar"", ""flexão plantar do tornozelo"", ""alongamento de panturrilha"", ""alongamento da panturrilha"" ], ""exercícios_em_superfícies_irregulares"": [ ""caminhar na areia"", ""caminhar em superfícies macias"", ""caminhada descalço em superfícies irregulares"", ""caminhada descalço em superfícies variadas"" ], ""movimentos_de_rotacao_excessiva_do_tornozelo"": [ ""rotação do tornozelo"", ""rotação dos tornozelos"", ""movimentos circulares com os tornozelos"" ] }"
35,hérnia umbilical ou inguinal,"{ ""pressão abdominal excessiva"": [""prancha"", ""prancha lateral"", ""abdominal"", ""crunch"", ""elevação de pernas""], ""impacto ou carga elevada"": [""levantamento de peso"", ""ciclismo intenso"", ""leg press"", ""flexão de braço tradicional""], ""movimentos de torção intensa"": [""rotação de tronco"", ""torção russa""] }"
